"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"163","AGRON","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Politics isn't something that is discussed as much in science because science generally lays outside the fluctuations brought about by political change; plants will always need to be grown, roads will need to be build, animals and people will get sick and need to be healed. Also, STEM majors generally have ""heavier"" curriculum compared to, say, a communications major (no shade). I think STEM students tend to focus on their studies more than the outside world as a result.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"164","AGRON","Transferred, undergraduate - equivalent to 3rd year or later","No","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","Maybe because the political science major increase the University statistic?","Lack of time due to course load","Probably yes","Stem"
"166","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I think that they are so busy voting gets pushed to the back burner","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"167","AN S","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They don’t care","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"168","AN S","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Somewhat agree","Yes","No","Politicians don’t represent stem majors well ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"169","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","Not having an opinion ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"170","AN S","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Focus on academics - often not many classes relevant to current events in order to know how important their votes are. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"171","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","Yes","People feel they are not educated enough to vote","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"172","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","No","Yes","I believe is because we are busy all the time. Our majors require a lot from us and especially if you want to continue your education after your undergrad. Most STEM careers require you to be above and beyond with everything you do. So trying to choose someone for president is another big thing that is in the back of our mind. ","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"173","AN S","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","I think STEM majors are busy with work/school and do not have the time to look into candidates, and therefore do not want to vote uninformed.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"174","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat agree","Yes","No","We view other things as more important. Not involved in politics so the vote wouldn’t be educated","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"175","AN S","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat disagree","No","No","lack of caring, no emphasis on politics or social expectations in these majors","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"176","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","We don’t talk about it really in our classes, and I always have so much homework and so much to study for that politics kind of gets put on a back burner ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"177","AN S","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","No","","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"178","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"179","AN S","Undergraduate, 4th year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"180","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not enough time","Lack of time due to course load","Probably yes","Stem"
"181","AN S","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","STEM students have to much to think about, for example Calc hwk. ","Lack of time due to course load","Might or might not","Stem"
"182","AN S","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","","Lack of time due to course load","Probably yes","Stem"
"183","AN S","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","I think at least one thing that contributes to the low voting rate is the amount of out-of-state students we have. I think they either forget about or don’t want to go through the hassle of absentee voting, causing numbers to be lower","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"184","AN S","Undergraduate, 5th year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Lower average interest in social issues","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"185","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"186","AN S","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Little time ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"187","AN S","Undergraduate, 3rd year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","We are too busy","Lack of time due to course load","Probably yes","Stem"
"188","AN S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
